project_id,article_id,url,pdf_url,is_fulltext,is_duplicate,is_include_ab,is_include_ft,tags,cite_id
138103,5136292,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136292/5136292_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136292/5136292_2756d768-9b55-45d4-a896-b944f0fe93d6.pdf,1,0,1,1,Case reports;Systematic review;Adult;Neurological and neuromuscular manifestations;Neurocognitive manifestations,2055_114
138103,5136293,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136293/5136293_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136293/5136293_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,1,Qualitative systematic review;Quality of Life,2055_115
138103,5136294,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136294/5136294_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136294/5136294_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,1,Quality of Life;Qualitative systematic review;Health Care Worker;Cardiopulmonary manifestations,2055_116
138103,5136295,,,,0,0,,Neurocognitive manifestations,2055_117
138103,5136296,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136296/5136296_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136296/5136296_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,1,Systemic manifestations;Systematic review,2055_118
138103,5136297,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136297/5136297_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136297/5136297_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,1,Narrative review;Systemic manifestations;Musculoskeletal  manifestations,2055_119
138103,5136298,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136298/5136298_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136298/5136298_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,1,Musculoskeletal  manifestations;Systemic manifestations;Comprehensive review,2055_120
138103,5136299,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136299/5136299_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136299/5136299_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,0,All health outcomes;Narrative review;Pediatric,2055_121
138103,5136300,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136300/5136300_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136300/5136300_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,0,,2055_122
138103,5136301,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136301/5136301_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136301/5136301_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,1,Systematic review;Meta-analysis;Cardiopulmonary manifestations,2055_123
138103,5136302,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136302/5136302_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136302/5136302_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,1,SARS-CoV-2 or COVID-19;Review of reviews;All health outcomes,2055_124
138103,5136303,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136303/5136303_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136303/5136303_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,0,All health outcomes;Literature review;Adult;Elderly individuals,2055_125
138103,5136304,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136304/5136304_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136304/5136304_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,1,Cross-sectional study;Cohort study;Scoping review;RCTs;All health outcomes,2055_126
138103,5136305,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136305/5136305_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136305/5136305_20230525011317059.pdf,1,0,1,1,Disability or impairment;Neurological and neuromuscular manifestations;SARS-CoV-2 or COVID-19;Systematic review,2055_127
138103,5136306,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136306/5136306_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136306/5136306_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,1,Systematic review;Adult;All health outcomes,2055_128
138103,5136307,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136307/5136307_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136307/5136307_2756d768-9b55-45d4-a896-b944f0fe93d6.pdf,1,0,1,1,Pediatric;Systematic review;Meta-analysis;Psychological manifestations;Systemic manifestations,2055_129
138103,5136308,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136308/5136308_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136308/5136308_2756d768-9b55-45d4-a896-b944f0fe93d6.pdf,1,0,1,1,SARS-CoV-2 or COVID-19;Cohort study;Case control study;Systematic review;All health outcomes,2055_130
138103,5136309,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136309/5136309_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136309/5136309_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,0,Pediatric;SARS-CoV-2 or COVID-19;Disability or impairment,2055_131
138103,5136310,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136310/5136310_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136310/5136310_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,1,Pediatric;Adult;All health outcomes,2055_132
138103,5136311,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136311/5136311_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136311/5136311_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,0,All health outcomes;SARS-CoV-2 or COVID-19,2055_133
138103,5136312,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136312/5136312_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136312/5136312_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,1,Cohort study;Adult;Pediatric;All health outcomes,2055_134
138103,5136313,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136313/5136313_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136313/5136313_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,0,Narrative review;Gastrointestinal manifestations,2055_135
138103,5136314,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136314/5136314_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136314/5136314_2756d768-9b55-45d4-a896-b944f0fe93d6.pdf,1,0,1,1,All health outcomes;Pediatric;Women;Scoping review,2055_136
138103,5136315,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136315/5136315_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136315/5136315_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,1,Systematic review;Meta-analysis;SARS-CoV-2 or COVID-19;All health outcomes,2055_137
138103,5136316,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136316/5136316_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136316/5136316_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,0,Biomarkers;Narrative review,2055_138
138103,5136317,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136317/5136317_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136317/5136317_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,1,SARS-CoV-2 or COVID-19;Systematic review;Adult;Disability or impairment;Neurocognitive manifestations;Qualitative systematic review,2055_139
138103,5136318,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136318/5136318_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136318/5136318_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,1,Neurological and neuromuscular manifestations;Systematic review;Meta-analysis,2055_140
138103,5136319,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136319/5136319_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136319/5136319_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,1,SARS-CoV-2 or COVID-19;Systematic review;Neurological and neuromuscular manifestations;Neurocognitive manifestations;Imaging,2055_141
138103,5136320,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136320/5136320_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136320/5136320_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,1,Systematic review;SARS-CoV-2 or COVID-19;Meta-analysis;All health outcomes,2055_142
138103,5136321,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136321/5136321_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136321/5136321_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,1,All health outcomes;Cohort study;Case control study;Scoping review;Observational,2055_143
138103,5136322,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136322/5136322_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136322/5136322_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,0,All health outcomes;Comprehensive review,2055_144
138103,5136323,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136323/5136323_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136323/5136323_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,1,Musculoskeletal  manifestations;Systematic review;Adult;Racial and ethnic minorities;SARS-CoV-2 or COVID-19;Meta-analysis,2055_145
138103,5136324,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136324/5136324_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136324/5136324_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,1,Neurological and neuromuscular manifestations;Neurocognitive manifestations;Systemic manifestations;Review of reviews,2055_146
138103,5136325,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136325/5136325_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136325/5136325_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,1,Comprehensive review;Psychological manifestations;SARS-CoV-2 or COVID-19,2055_147
138103,5136326,,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136326/5136326_f1f80bdb-3a59-452c-b5b9-7381d495d44a.pdf,,0,1,0,SARS-CoV-2 or COVID-19;Literature review;Adult;Systemic manifestations,2055_148
